Title,movie_id
[Rec] 2,1245112
10 Things I Hate About You,0147800
10 Years,1715873
12 Rounds,1160368
127 Hours,1542344
13 Going on 30,0337563
13 Sins,2059171
13 Tzameti,0475169
1408,0450385
16 Blocks,0450232
17 Again,0974661
2 Days in New York,1602472
2 Days in Paris,0841044
2 Fast 2 Furious,0322259
2 Guns,1272878
20 Feet from Stardom,2396566
2012 (I),1190080
2046,0212712
21,0478087
21 & Over,1711425
21 Grams,0315733
21 Jump Street,1232829
25th Hour,0307901
27 Dresses,0988595
28 Days,0191754
28 Weeks Later,0463854
3 Hearts,2822742
30 Beats,1484521
30 Days of Night,0389722
30 Minutes or Less,1622547
300,0416449
3000 Miles to Graceland,0233142
35 Shots of Rum,1100048
360,1680045
3rd Rock from the Sun,0115082
42,0453562
45365,1337139
47 Ronin,1335975
5 Days of War,1486193
5 Flights Up,2933544
50 First Dates,0343660
500 Days of Summer,1022603
56 Up,2147134
6 Month Rule,0865561
'71,2614684
8 Mile,0298203
88 Minutes,0411061
8MM,0134273
9 (I),0472033
A Beautiful Mind,0268978
A Better Life,1554091
A Case of You,1817081
A Christmas Tale,0993789
A Cinderella Story,0356470
A Dangerous Method,1571222
A Day Without a Mexican,0377744
A Dirty Shame,0365125
A Few Good Men,0104257
A Field in England,2375574
A Film Unfinished,1568923
A Good Year,0401445
A Guide to Recognizing Your Saints,0473488
A Haunted House,2243537
A Haunted House 2,2828996
A Hijacking,2216240
A History of Violence,0399146
A Home at the End of the World,0359423
A la mala,4357170
A Late Quartet,1226240
A Little Bit of Heaven,1440161
A Little Help,1319722
A Long Way Down,0458413
A Lot Like Love,0391304
A Mighty Wind,0310281
A Most Violent Year,2937898
A Most Wanted Man,1972571
A Perfect Getaway,0971209
A Picture of You,2351098
A River Runs Through It,0105265
A Royal Affair,1276419
A Scanner Darkly,0405296
A Serious Man,1019452
A Single Man,1315981
A Single Shot,1540741
A Sound of Thunder,0318081
A Teacher,2201548
A Thousand Words (I),0763831
A Town Called Panic,1433540
A Very Long Engagement,0344510
A Walk to Remember,0281358
ABCs of Death 2,2926810
About Cherry,1945062
About Schmidt,0257360
About Time (I),2194499
Accepted,0384793
Across the Universe,0445922
Act of Valor,1591479
Adam (I),1185836
Adaptation.,0268126
Addicted (I),2205401
Admission,1814621
Adore,2103267
Adult World,1067765
Adventureland,1091722
Afternoon Delight,2312890
Agent Cody Banks,0313911
Agora,1186830
Ain't Them Bodies Saints,2388637
Air Force One,0118571
Akeelah and the Bee,0437800
Albatross,1541149
Albert Nobbs,1602098
Alex Cross,1712170
Alexander,0346491
Alfie,0375173
Ali,0248667
Alien 3,0103644
Alien Abduction,2510434
Aliens,0090605
Aliens in the Attic,0775552
Alive Inside,2593392
All About My Mother,0185125
All About Steve,0881891
All Good Things,1175709
All Is Lost,2017038
All the Real Girls,0299458
Almost Famous,0181875
Alone in the Dark,0369226
Along Came a Spider,0164334
Along Came Polly,0343135
Alpha and Omega,1213012
Alpha Dog,0426883
Alps,1859446
Alvin and the Chipmunks,0952640
Amadeus,0086879
American Beauty,0169547
American Dreamz,0465142
American Gangster,0765429
American History X,0120586
