,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year,complete,genre,metacritic_page,metascore,num_critic_reviews,num_user_ratings,num_user_reviews,rating,release_date,runtime_minutes,studio,user_score,month,weekday,year_release,log_domestic_gross,log_opening_weekend_take
0,10 Years (2012),Jamie Linden,203373.0,10years,7569.0,22707.0,,,2012-09-14,10 Years,63.0,203373.0,2012.0,True,"[Drama, Comedy, Romance]",/movie/10-years,61.0,"[7, 11, 0, 18]",12.0,"[3, 2, 1, 6]",R,2012-09-14,100.0,Anchor Bay Entertainment,6.6,Sep,Friday,2012.0,12.2227970104,10.030428526
1,127 Hours (2010),Danny Boyle,18335230.0,127hours,2333.0,2136801.0,18000000.0,2010-11-05,2011-01-28,127 Hours,916.0,60738797.0,2010.0,True,"[Adventure, Biography, Drama, Thriller]",/movie/127-hours,82.0,"[37, 1, 0, 38]",518.0,"[100, 2, 16, 118]",R,2010-11-05,94.0,Fox Searchlight Pictures,8.0,Jan,Friday,2011.0,16.7243349037,14.5748204088
2,12 Rounds (2009),Renny Harlin,12234694.0,12rounds,2286.0,5329240.0,,,2009-03-27,12 Rounds,2331.0,17280326.0,2009.0,True,"[Action, Thriller, Crime]",/movie/12-rounds,38.0,"[1, 5, 7, 13]",66.0,"[3, 5, 12, 20]",PG-13,2009-03-27,108.0,Fox Atomic,5.0,Mar,Friday,2009.0,16.3197862443,15.4887191969
3,13 Going on 30 (2004),Gary Winick,57231747.0,13goingon30,6123.0,21054283.0,37000000.0,,2004-04-23,13 Going on 30,3453.0,96455697.0,2004.0,True,"[Fantasy, Comedy, Romance]",/movie/13-going-on-30,57.0,"[20, 15, 0, 35]",120.0,"[26, 3, 4, 33]",PG-13,2004-04-23,98.0,Columbia Pictures,6.9,Apr,Friday,2004.0,17.8626193199,16.8626145653
4,16 Blocks (2006),Richard Donner,36895141.0,16blocks,4381.0,11855260.0,,,2006-03-03,16 Blocks,2706.0,65664721.0,2006.0,True,"[Action, Drama, Thriller, Crime]",/movie/16-blocks,63.0,"[24, 8, 2, 34]",143.0,"[32, 7, 8, 47]",PG-13,2006-03-03,105.0,Warner Bros. Pictures,7.0,Mar,Friday,2006.0,17.4235904201,16.2882822089
5,17 Again (2009),Burr Steers,64167069.0,17again,7288.0,23722310.0,,,2009-04-17,17 Again,3255.0,136267476.0,2009.0,True,"[Drama, Comedy, Romance]",/movie/17-again,48.0,"[9, 13, 5, 27]",146.0,"[29, 6, 8, 43]",PG-13,2009-04-17,102.0,New Line Cinema,6.0,Apr,Friday,2009.0,17.9770006931,16.9819265135
6,2012 (2009),Roland Emmerich,166112167.0,2012,19165.0,65237614.0,200000000.0,,2009-11-13,2012,3444.0,769679473.0,2009.0,True,"[Action, Adventure, Sci-Fi, Drama, Thriller]",/movie/2012,49.0,"[14, 14, 6, 34]",571.0,"[110, 41, 82, 233]",PG-13,2009-11-13,158.0,Columbia Pictures,5.5,Nov,Friday,2009.0,18.928173823,17.9935467624
7,21 (2008),Robert Luketic,81159365.0,21,9103.0,24105943.0,35000000.0,,2008-03-28,21,2952.0,157927340.0,2008.0,True,[Drama],/movie/21,48.0,"[6, 21, 2, 29]",152.0,"[29, 10, 12, 51]",PG-13,2008-03-28,123.0,Columbia Pictures,6.3,Mar,Friday,2008.0,18.2119252488,16.9979689656
8,25th Hour (2002),Spike Lee,13084595.0,25thhour,21773.0,108865.0,5000000.0,,2002-12-19,25th Hour,495.0,23928503.0,2002.0,True,"[Drama, Crime]",/movie/25th-hour,67.0,"[24, 10, 3, 37]",149.0,"[40, 1, 9, 50]",R,2002-12-19,135.0,Buena Vista Pictures,8.2,Dec,Thursday,2002.0,16.386946142,11.5978638615
9,27 Dresses (2008),Anne Fletcher,76808654.0,27dresses,7526.0,23007725.0,30000000.0,,2008-01-18,27 Dresses,3074.0,160259319.0,2008.0,True,"[Comedy, Romance]",/movie/27-dresses,47.0,"[7, 22, 2, 31]",109.0,"[25, 6, 9, 40]",PG-13,2008-01-18,111.0,Fox 2000 Pictures,5.8,Jan,Friday,2008.0,18.1568278741,16.9513405871
10,28 Days (2000),Betty Thomas,37170488.0,28days,4086.0,10310672.0,43000000.0,,2000-04-14,28 Days,2523.0,62198945.0,2000.0,True,[Drama],/movie/28-days,46.0,"[9, 10, 7, 26]",31.0,"[7, 0, 1, 8]",PG-13,2000-04-14,103.0,Columbia Pictures,6.4,Apr,Friday,2000.0,17.4310256711,16.1486900333
11,28 Weeks Later (2007),Juan Carlos Fresnadillo,28638916.0,28weekslater,4258.0,9807292.0,,,2007-05-11,28 Weeks Later,2305.0,64238440.0,2007.0,True,"[Action, Thriller, Horror]",/movie/28-weeks-later,78.0,"[31, 3, 0, 34]",391.0,"[124, 21, 36, 181]",R,2007-05-11,99.0,Fox Atomic,7.0,May,Friday,2007.0,17.1702770502,16.0986367486
12,2 Days in New York (2012),Julie Delpy,633210.0,2daysinnewyork,11971.0,23942.0,,,2012-08-10,2 Days in New York,42.0,1653792.0,2012.0,True,[Comedy],/movie/2-days-in-new-york,61.0,"[17, 8, 1, 26]",21.0,"[4, 1, 2, 7]",R,2012-08-10,96.0,Magnolia Pictures,5.4,Aug,Friday,2012.0,13.3585573997,10.0833895178
13,2 Days in Paris (2007),Julie Delpy,4433994.0,2daysinparis,17364.0,173641.0,,,2007-08-10,2 Days in Paris,148.0,19776159.0,2007.0,True,"[Drama, Comedy, Romance]",/movie/2-days-in-paris,67.0,"[27, 3, 0, 30]",66.0,"[19, 1, 8, 28]",R,2007-08-10,96.0,Samuel Goldwyn Films,6.5,Aug,Friday,2007.0,15.304811316,12.0647452284
